url,property_id,address
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu16011,rbu16011,Jozef Voetlaan 3 3V 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu16009,rbu16009,Theo Van den Boschstraat 7 201 2100 Deurne
https://immovlan.be/en/detail/penthouse/for-sale/2100/deurne/rbu63299,rbu63299,Bisschoppenhoflaan 454 5V 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu64285,rbu64285,Hollebeekstraat 169 13 2660 Hoboken
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu64286,rbu64286,Turnhoutsebaan 457 4E 2140 Borgerhout
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu63092,rbu63092,Meerlenhoflaan 13 2 2660 Hoboken
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu63116,rbu63116,Wouter Haecklaan 8 37 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu63093,rbu63093,Meerlenhoflaan 13 1 2660 Hoboken
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu62418,rbu62418,Kommekensstraat 20 2 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu62340,rbu62340,Bisschoppenhoflaan 448/450 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu48914,rbu48914,Vrijheidstraat 13 001 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu62357,rbu62357,Anselmostraat 66 A1 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu61590,rbu61590,Frans de l'Arbrelaan 62 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu61489,rbu61489,Twee Netenstraat 74 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu62158,rbu62158,Turnhoutsebaan 111 302 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu61551,rbu61551,Weerstandlaan 61 bus 112 - 2660 Hoboken
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu61511,rbu61511,Gallifortlei 5 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/berchem,berchem,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu61577,rbu61577,Stoelstraat 3 0.3 2000 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu48602,rbu48602,De Sevillastraat 97 4 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu48225,rbu48225,Morckhovenlei 17 4 2140 Borgerhout
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu48362,rbu48362,Italiëlei 219 V3 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu48911,rbu48911,Vrijheidstraat 13 301 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu48110,rbu48110,Bist 113 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu47057,rbu47057,Bourlastraat 3 V4 2000 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbu47931,rbu47931,Breughelstraat 2-4 201 2018 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/vbd37673,vbd37673,Ellermanstraat 61 1310 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu46870,rbu46870,Lambrechtshoekenlaan 276 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu47792,rbu47792,Bleekhofstraat 117 8 2140 Borgerhout
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu46826,rbu46826,Solvynsstraat 11 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu46144,rbu46144,Gloriantlaan 51 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu30202,rbu30202,Paviljoenlaan 10 8 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu30216,rbu30216,Rooiboslaan 41 V8 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu29982,rbu29982,Lange Lozanastraat 228 101 2018 Antwerp
https://immovlan.be/en/detail/ground-floor/for-sale/2018/antwerp/rbu30034,rbu30034,Mechelsesteenweg 189 2018 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/borgerhout,borgerhout,None
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu29700,rbu29700,Lodewijk Van Berckenlaan 350 16 2140 Borgerhout
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
